"conversation_id_str;""created_at"";""favorite_count"";""full_text"";""id_str"";""image_url"";""in_reply_to_screen_name"";""lang"";""location"";""quote_count"";""reply_count"";""retweet_count"";""tweet_url"";""user_id_str"";""username""";;;
"1795335463643082843;""Tue May 28 06:05:04 +0000 2024"";""4575"";"" sedangkan di suatu tempat nan jauh di mata namun dekat di bandung memperbolehkan bayar UKT menggunakan pinjol. https://t.co/JVxSJvzKQQ"";""1795335463643082843"";""https://pbs.twimg.com/media/GOpQFlubYAAOn--.jpg"";"""";""in"";""Indonesia"";""26"";""28"";""238"";""https://x.com/tanyakanrl/status/1795335463643082843"";""1331650559518990336"";""tanyakanrl""";;;
"1797466429526245390;""Mon Jun 03 03:12:46 +0000 2024"";""5"";""Aliansi Jurnalis Banten Demo Tolak RUU Penyiaran. Oh cuma ditunda belum dibatalkan. Sama sprt UKT mhasiswa dong ? https://t.co/AZmzo3m12J"";""1797466429526245390"";""https://pbs.twimg.com/ext_tw_video_thumb/1797466131864924160/pu/img/FFlvryTJcbHl-5-B.jpg"";"""";""in"";""DIHATIMU"";""0"";""0"";""2"";""https://x.com/Cintada16/status/1797466429526245390"";""1279643013455605760"";""Cintada16""";;;
"1795019216640471490;""Mon May 27 09:08:25 +0000 2024"";""6"";""Ramai soal Kenaikan UKT Nadiem: Tahun Ini Tidak Ada Kenaikan UKT https://t.co/BIbFrUCqWN"";""1795019216640471490"";""https://pbs.twimg.com/amplify_video_thumb/1795018393537646592/img/K5uZHne8n3ujjOYk.jpg"";"""";""in"";""Jakarta"";""1"";""6"";""2"";""https://x.com/kompascom/status/1795019216640471490"";""23343960"";""kompascom""";;;
"1795775994177187870;""Wed May 29 11:15:35 +0000 2024"";""2181"";""ALHAMDULILAH KABAR BAIK IPI MANDIRI UGM DITIADAKAN GUYS yang kena ipi hanya yang golongan ukt unggul saja alhamdulilah ya Allah https://t.co/daCPq01X8r"";""1795775994177187870"";""https://pbs.twimg.com/media/GOvgwAiaoAAQOEM.jpg"";"""";""in"";""Yogyakarta; Indonesia"";""175"";""82"";""178"";""https://x.com/raxyvga/status/1795775994177187870"";""1417168026240053248"";""raxyvga""";;;
"1795018802436120682;""Mon May 27 09:06:46 +0000 2024"";""4110"";""BREAKING: Kemendikbudristek memutuskan untuk membatalkan kenaikan UKT untuk tahun ini. https://t.co/j1ZJiKtobk"";""1795018802436120682"";""https://pbs.twimg.com/amplify_video_thumb/1795018483744587776/img/QKwHz4e3eNrJmYX3.jpg"";"""";""in"";""Kutub Selatan"";""676"";""239"";""618"";""https://x.com/timpenguinnas/status/1795018802436120682"";""1457753196269473793"";""timpenguinnas""";;;
"1796415082404143362;""Fri May 31 05:35:06 +0000 2024"";""2"";"" bantuk aku lulus smt ini plsss ukt mahal https://t.co/QZ7pu43yoz"";""1796415082404143362"";""https://pbs.twimg.com/media/GO4l_thbMAAbHPM.jpg"";"""";""in"";""Indonesia"";""0"";""2"";""0"";""https://x.com/tanyakanrl/status/1796415082404143362"";""1331650559518990336"";""tanyakanrl""";;;
"1796395649241624958;""Fri May 31 04:17:52 +0000 2024"";""292"";""gak sia-sia bayar ukt ui! https://t.co/ZTWqbU9kWG"";""1796395649241624958"";""https://pbs.twimg.com/media/GO4UUmPbcAAq9E1.jpg"";"""";""in"";""danau kenanga"";""59"";""33"";""15"";""https://x.com/uibaseNG/status/1796395649241624958"";""1754127676305289216"";""uibaseNG""";;;
"1797197453269311992;""Sun Jun 02 09:23:57 +0000 2024"";""25"";""Di tengah polemik biaya UKT perguruan tinggi negeri yang mahal Universitas Muhammadiyah Maumere membolehkan bayar uang kuliah menggunakan hasil bumi seperti pisang sampai ikan laut tangkapan. https://t.co/mUPrGioB4t"";""1797197453269311992"";""https://pbs.twimg.com/amplify_video_thumb/1797197308200947713/img/EDsXELbacKtdIm2a.jpg"";"""";""in"";""Anseong-si; Republic of Korea"";""0"";""2"";""8"";""https://x.com/Kopipait__78/status/1797197453269311992"";""1236229061552140288"";""Kopipait__78""";;;
"1796893578389815585;""Sat Jun 01 13:16:28 +0000 2024"";""3238"";""Buruh Serukan Aksi Demo 6 Juni di Istana Negara untuk Tolak Tapera Penolakan Program KRIS dan UKT Mahal Juga akan Disuarakan https://t.co/k9ZzKsLAff"";""1796893578389815585"";"""";"""";""in"";""Indonesia"";""96"";""260"";""976"";""https://x.com/geloraco/status/1796893578389815585"";""3319260420"";""geloraco""";;;
"1354332588609921026;""Wed Jan 27 07:37:06 +0000 2021"";""8256"";""[cm] Bayar UKT cuman dapet PPT ngakak banget https://t.co/Kx8KhNKtOm"";""1354332588609921026"";""https://pbs.twimg.com/media/EsuOT6iVcAEpU3K.jpg"";"""";""in"";"""";""222"";""253"";""1203"";""https://x.com/collegemenfess/status/1354332588609921026"";""1046084008742801408"";""collegemenfess""";;;
"1287752503233089536;""Mon Jul 27 14:11:36 +0000 2020"";""5929"";""[CM] TEMAN2 MAHASISWA DOAIN YA KAMI SEDANG BERJUANG UNTUK UKT.. PANJANG UMUR PERJUANGAN. https://t.co/RDUD0y2laZ"";""1287752503233089536"";""https://pbs.twimg.com/media/Ed8EE56UwAIuufU.jpg"";"""";""in"";"""";""98"";""315"";""613"";""https://x.com/collegemenfess/status/1287752503233089536"";""1046084008742801408"";""collegemenfess""";;;
"1757715136570327466;""Wed Feb 14 10:35:19 +0000 2024"";""28934"";""[Cm] alhamdulillah ga mikirin ukt guyss.... harus kita tagih ini https://t.co/oLjyF6q6LJ"";""1757715136570327466"";""https://pbs.twimg.com/media/GGSomXLasAAqCra.jpg"";"""";""in"";"""";""2193"";""1562"";""3251"";""https://x.com/collegemenfess/status/1757715136570327466"";""1046084008742801408"";""collegemenfess""";;;
"1220573266953134080;""Fri Jan 24 05:05:18 +0000 2020"";""8308"";""[cm] No one : Literally no one : No even single soul : Adek gw : Ngirim bukti bayaran ukt ke dosen https://t.co/M9iNeySSIT"";""1220573266953134080"";""https://pbs.twimg.com/media/EPBY6qfU8AADqFY.jpg"";"""";""in"";"""";""667"";""907"";""4429"";""https://x.com/collegemenfess/status/1220573266953134080"";""1046084008742801408"";""collegemenfess""";;;
"1613452897563574273;""Thu Jan 12 08:28:41 +0000 2023"";""10271"";""-dips! buset baru tau bayar ukt dpt bisa hadiah anjirrr https://t.co/o89SxEaBPi"";""1613452897563574273"";""https://pbs.twimg.com/media/FmQi2iqacAESc40.jpg"";"""";""in"";""⬇️BACA RULES JANGAN NGELANGGAR"";""1409"";""1033"";""607"";""https://x.com/undipmenfess/status/1613452897563574273"";""1177052356925513728"";""undipmenfess""";;;
"1281164961197092864;""Thu Jul 09 09:55:04 +0000 2020"";""1976"";""-dips! semangat buat teman teman yg memperjuangkan biar bisa dapet diskon ukt https://t.co/9ifgLQqgoB"";""1281164961197092864"";""https://pbs.twimg.com/media/EcecvbNVAAEc70b.jpg"";"""";""in"";""⬇️BACA RULES JANGAN NGELANGGAR"";""92"";""140"";""393"";""https://x.com/undipmenfess/status/1281164961197092864"";""1177052356925513728"";""undipmenfess""";;;
"1544078603746672640;""Mon Jul 04 22:00:01 +0000 2022"";""14103"";""ptn! kok ada ya orang yg ngelebih-lebihin UKT terus bangga? bukannya merasa dosa? https://t.co/k6r74j9qve"";""1544078603746672640"";""https://pbs.twimg.com/media/FW2qwStakAAoXcr.jpg"";"""";""in"";""RULES 👉"";""1807"";""1813"";""519"";""https://x.com/sbmptnfess/status/1544078603746672640"";""1205629250423779328"";""sbmptnfess""";;;
"1795123552955273234;""Mon May 27 16:03:01 +0000 2024"";""31"";""Braw! Kawal Terus ISU UKT!!! #..TurunkanUKTUB https://t.co/ZlSVqN0eYF"";""1795123552955273234"";""https://pbs.twimg.com/media/GOmPWzBa4AAoClT.jpg"";"""";""in"";""rules/pp cek link‼️"";""0"";""2"";""0"";""https://x.com/ub_mfs/status/1795123552955273234"";""2970636770"";""ub_mfs""";;;
"1573137677876359169;""Fri Sep 23 02:30:24 +0000 2022"";""4979"";""Ameh bayar ukt mas https://t.co/LKFTaoHxzC"";""1573137677876359169"";""https://pbs.twimg.com/ext_tw_video_thumb/1573137639083249665/pu/img/jebHgPykd6o3HGWR.jpg"";"""";""in"";""Yogyakarta"";""397"";""247"";""1744"";""https://x.com/helmihelmi/status/1573137677876359169"";""46063108"";""helmihelmi""";;;
"1795015609421623299;""Mon May 27 08:54:05 +0000 2024"";""50"";""Ask! Ini nasib yg udah bayar UKT baru gimana ya https://t.co/83kd1kP1CD"";""1795015609421623299"";""https://pbs.twimg.com/media/GOktLjza0AA_b0r.jpg"";"""";""in"";""danau kenanga"";""6"";""7"";""3"";""https://x.com/uibaseNG/status/1795015609421623299"";""1754127676305289216"";""uibaseNG""";;;
"1795596698439577754;""Tue May 28 23:23:08 +0000 2024"";""3"";""POLEMIK UKT: SUARA KAMPUS DAN MIMPI INDONESIA MASA DEPAN Saksikan &amp";" jangan lewatkan Gelora Talks edisi ke #130 ini Rabu 29 Mei 2024 Pukul 15.30 WIB LIVE STREAMING ▶️ #GeloraTV https://t.co/6XOnLfCdNl ▶️ Facebook https://t.co/W4Yn36fiMT @anismatta @Fahrihamzah https://t.co/wmNTP5KW4U"";""1795596698439577754"";""https://pbs.twimg.com/ext_tw_video_thumb/1795594810226876416/pu/img/JbDayiHZUYA-NA3g.jpg"";"""";""in"";""Indonesia"";""0"";""0"";""2"";""https://x.com/partaigeloraid/status/1795596698439577754"";""1179718333605658624"";""partaigeloraid""";;
"1752303729116877265;""Tue Jan 30 12:12:19 +0000 2024"";""10958"";""Menteri Keuangan Sri Mulyani Indrawati menyampaikan bahwa Dewan Pengawas Lembaga Pengelola Dana Pendidikan (LPDP) saat ini tengah menyiapkan bantuan pinjaman biaya pendidikan bunga rendah untuk mahasiswa (student loan) yang digunakan untuk membayar Uang Kuliah Tunggal (UKT). https://t.co/ltEisSVYsH"";""1752303729116877265"";""https://pbs.twimg.com/media/GFFu8v4boAAnyyQ.jpg"";"""";""in"";""Jakarta Capital Region"";""3978"";""1128"";""1515"";""https://x.com/asumsico/status/1752303729116877265"";""829366551446818816"";""asumsico""";;;
